id,fname,lname,hand,dob,country,height
204733,Moriyo,Adachi,,5/30/1978,JPN,
204734,Ivona,Grujic,,7/30/1978,YUG,
204735,Kate,Pinchbeck,,2/28/1981,AUS,
204736,Nuria,Tabernero Garin,,10/19/1973,ESP,
204737,Maria Pilar,Sanchez Alayeto,,6/20/1984,ESP,
204738,Yaiza,Goni Blanco,,8/7/1979,ESP,
204739,Estefania,Aldana Estremera,,5/16/1984,ESP,
204741,Janet,Walker,,5/29/1979,USA,
204742,Briana,Harris,,12/21/1978,USA,
204743,Stacey,Sheppard,,12/19/1972,USA,
204744,Kristin,Osmond,,2/4/1972,USA,
204747,Geraldine,Bimes,,7/30/1979,FRA,
204748,Milica,Koprivica,,3/4/1983,SCG,
204749,Jitka,Dubcova,,6/21/1971,TCH,
204750,Maria,Capistrano Bjorklund,,2/28/1970,SWE,
204751,Romana,Cernoskova,,4/4/1979,CZE,
204752,Sylvia,Stefkova,,3/9/1970,CZE,
204753,Barbora,Sukova,,11/5/1982,CZE,
204754,Katharina,Alberti,,5/27/1984,GER,
204755,Melanie,Schneider,,7/24/1978,GER,
204756,Maria Alejandra,Quezada,,3/7/1974,CHI,
204757,Zuzana,Filipova,,7/26/1979,CZE,
204758,Ana Paola,Gonzalez Diaz,,5/15/1978,MEX,
204759,Ning,Lin,,2/28/1970,HKG,
204760,Yu Jin,Wang,,3/12/1979,CHN,
204761,Rurika,Maruse,,3/23/1976,JPN,
204762,Kun,Zhang,,8/7/1979,CHN,
204763,Wei,Qie,,1/5/1977,CHN,
204764,Lui Li,Shen,,1/11/1978,CHN,
204765,Henriette,Van Aalderen,,4/14/1976,NED,
204766,Saskia,Simon,,3/9/1979,GER,
204767,Meirav,Duek,,7/8/1978,ISR,
204768,Jasmin,Halbauer,,12/22/1979,GER,
204769,Oshri,Shashua,,1/1/1978,ISR,
204770,Natalia,Volcova,,1/28/1982,MDA,
204771,Valentina,Mortello,,12/9/1980,ITA,
204772,Liina,Suurvarik,,10/16/1980,EST,
204773,Alessia,Zinga,,1/13/1985,ITA,
204774,Victoria,Courmes Benedetti,,6/7/1977,FRA,
204775,Anja,Franken,,4/5/1972,GER,
204776,Carly,Homewood,,11/5/1981,GBR,
204777,Natasha,Papadopoulou,,7/17/1978,GRE,
204778,Spela,Rajh,,1/17/1979,SLO,
204779,Nena,Vukasovic,,12/11/1977,SLO,
204780,Ivana,Havrlikova,,8/22/1973,CZE,
204781,Rikke,Faurfelt,,8/28/1980,DEN,
204782,Line,Elvstrom Ekner,,8/15/1983,DEN,
204783,Petra,Puheloinen,,10/4/1980,FIN,
204784,Saori,Honda,,9/7/1976,JPN,
204785,Dominique,Rosenberg,,8/5/1982,CHI,
204786,Angela,Geib,,1/16/1978,AUT,
204788,Maria,Galoustova,,6/2/1980,RUS,
204789,Julia,Podgorochna,,1/6/1980,RUS,
204790,Lourdes,Lopez,,2/11/1983,MEX,
204791,Andreea,Petrisor,,5/27/1978,ROU,
204792,Hyun Hee,Sohn,,3/20/1975,KOR,
204793,So Yeon,Im,,8/26/1978,KOR,
204794,Young Eun,Shin,,6/3/1979,KOR,
204795,Hyun A,Shin,,3/3/1975,KOR,
204796,Soon Mi,Kim,,9/24/1973,KOR,
204797,Qi,Tuo,,4/18/1978,CHN,
204798,Xia,Sheng,,9/24/1982,CHN,
204799,Irina,Komarova,,6/20/1976,RUS,
204800,Sofia,Managadze,,6/9/1978,GEO,
204801,Marina,Soukholitko,,12/23/1981,RUS,
204802,Natalia,Romashina,,10/18/1980,RUS,
204803,Natalia,Vizhunova,,,RUS,
204804,Juleya,Semenets,,10/13/1979,UKR,
204805,Victoria,Livanova,,7/5/1981,RUS,
204806,Anna,Barinova,,10/5/1979,LAT,
204807,Kalina,Diankova,,12/12/1978,BUL,
204808,Radoslava,Topalova,,9/1/1980,BUL,
204809,Maria,Penkova,,6/25/1984,BUL,
204810,Anna,Rynarzewska,,3/11/1983,POL,
204811,Sofia,Finer,,5/15/1976,SWE,
204812,Maria,Persson,,8/11/1978,SWE,
204814,Pao Hua,Huang,,10/23/1975,TPE,
204815,Yi Ching,Wu,,4/28/1977,TPE,
204816,Min Fang,Chang,,5/11/1979,TPE,
204817,Ching Li,Chen,,6/17/1974,TPE,
204818,Miyako,Nakanishi,,12/12/1973,JPN,
204819,Pei Jung,Wu,,12/22/1977,TPE,
204820,Hsiao Chuan,Fan,,10/6/1977,TPE,
204821,Yi Chieh,Chen,,6/4/1979,TPE,
204822,You Shu,Wu,,12/30/1977,TPE,
204823,Yi Chun,Lan,,2/3/1981,TPE,
204824,Chia Yi,Wu,,10/1/1978,TPE,
204825,Hong Lan,Liu,,2/11/1975,TPE,
204826,Yu Mei,Chen,,11/16/1977,TPE,
204827,Min Hui,Chan,,1/25/1974,TPE,
204828,Wan Ting,Lin,,7/11/1981,TPE,
204829,Jung Chi,Tsai,,2/9/1980,TPE,
204830,Yu Chun,Huang,,9/29/1976,TPE,
204831,Hsiung Ching,Lin,,3/5/1981,TPE,
204832,Yi Wei,Chen,,4/3/1981,TPE,
204833,Rochelle,Raiss,,4/30/1980,USA,
204834,Dominique,Reynolds,,6/23/1981,MEX,
204835,Claudia,Oliveira,,1/31/1978,BRA,
204836,Candida,Reid,,2/7/1977,GBR,
204837,Selin,Nassi Tekikbas,,7/6/1978,USA,
204838,Linda,Jansson,,9/10/1974,FIN,
204839,Oksana,Yarikova,,4/2/1976,UZB,
204841,Irina,Bobrysheva,,3/5/1983,RUS,
204842,Marianna,Yuferova,,9/5/1985,RUS,
204843,Eka,Zhvania,,1/22/1981,GEO,
204844,Maria Jose,Capuano,,6/11/1975,ARG,
204845,Ana,Viglione,,10/21/1980,ARG,
204846,Eugenia,Lopez Ascarte,,4/7/1976,ARG,
204847,Bettina,Hafner,,4/23/1981,GER,
204848,Silvia,Gutierrez Quiroga,,2/14/1983,ESP,
204849,Atsuko,Shintani,,1/25/1972,JPN,
204850,Julia,Carballal Fernandez,,1/11/1977,ESP,
204851,Magdalena,Marszalek,,7/26/1980,POL,
204852,Barbara,Urbanska,,2/17/1977,CAN,
204853,Jennifer,Baker,,1/17/1973,USA,
204854,Natalie,Ko,,1/16/1985,AUS,
204855,Sarah,Stone,,3/23/1982,AUS,
204856,Luana,Magnani,,12/5/1982,USA,
204857,Whitney,Benik,,8/11/1985,USA,
204858,Anca,Anastasiu,,6/14/1984,RSA,
204859,Paloma,Collantes,,8/23/1972,USA,
204860,Tumeka,Harris,,12/26/1976,USA,
204861,Ilona,Vichnevskaya,,10/20/1980,RUS,
204862,Beatriz,Cabrera Rosendo,,9/5/1982,ESP,
204863,Gizella,Turbok,,9/22/1978,HUN,
204864,Anzela,Zguna,,10/16/1973,LAT,
204865,Giulia,Baldoni,,5/19/1983,ITA,
204868,Stefanie,Weis,,2/24/1982,GER,
204869,Claire,Carter,,7/12/1981,GBR,
204870,Melissa,Berry,,6/29/1983,GBR,
204871,Cristina,Tonelli,,1/26/1983,ITA,
204872,Julia,Gandia Gomez,,7/1/1985,ESP,
204873,Anya,Loncaric,,2/11/1981,CAN,
204874,Tracey,Oconnor,,9/24/1982,NZL,
204875,Tomoko,Taira,,7/22/1981,JPN,
204876,Marjorie,Ferrand,,1/18/1975,FRA,
204877,Irina,Delitz,,5/13/1983,GER,
204878,Kim,Kambic,,11/1/1982,SLO,
204879,Beatriz,Becker,,12/24/1983,MEX,
204880,Eva,Erbova,,4/16/1976,CZE,
204881,Isabel,Collischonn,,10/16/1982,GER,
204882,Katya,Zenklusen,,6/12/1977,SUI,
204885,Neda,Mihneva,,11/3/1983,BUL,
204886,Nikolina,Hrankova,,3/6/1984,BUL,
204887,Virginia,Trifonova,,10/22/1981,BUL,
204888,Ljiljana,Nanusevic,,8/2/1981,SRB,
204890,Hiroko,Komori,,9/11/1977,JPN,
204891,Nana,Wada,,9/4/1979,JPN,
204895,Kim,Coventry,,11/28/1984,AUS,
204896,Anouk,Sterk,,11/5/1979,NED,
204897,Dina,Khalil,,6/30/1982,EGY,
204899,Evghenia,Ablovatchi,,10/28/1981,MDA,
204900,Amanda,Sanches,,3/19/1983,BRA,
204901,Julieta,Robin,,4/3/1979,ARG,
204902,Sabrina,Peppl,,12/2/1983,BRA,
204903,Livia,Azzi,,12/18/1982,BRA,
204905,Lucia,Tallova,,4/17/1982,SVK,
204906,Priscila,Ortega,,3/3/1983,BRA,
204908,Morena,De Bernardi,,7/1/1986,ITA,
204910,Anna,Eriksson,,4/17/1982,SWE,
204912,Diana,Majkic,,1/28/1980,SWE,
204913,Li,Tong,,10/14/1979,CHN,
204914,Yan,Chen,,4/11/1977,CHN,
204915,Min Jie,Shi,,11/1/1979,CHN,
204916,Maria,Husain,,3/19/1983,USA,
204917,Hyacinth,Yorke,,8/9/1961,USA,
204918,Jennifer,Klaschka,,10/25/1981,GER,
204919,Eva,Wang,,7/6/1984,USA,
204920,Tuyet Minh,Tran,,6/8/1982,VIE,
204921,Mirem,Rico Nogales,,4/5/1983,ESP,
204923,Ariela,Primo,,3/11/1983,BRA,
204924,Maria Florencia,Rivolta,,11/15/1981,ARG,
204925,Claudia,Salgues,,4/16/1982,URU,
204927,Luciana,Barbosa,,9/14/1974,BRA,
204928,Dea,Sumantri,,1/20/1983,INA,
204929,Kun,Deng,,5/7/1982,CHN,
204930,Charlotta,Larsson,,9/25/1979,SWE,
204931,Bianca,Cremer,,4/12/1978,GER,
204933,Raquel,Martins,,6/2/1984,BRA,
204935,Jorgelina,Barrera,,4/9/1984,ARG,
204936,Candela,Novoa,,7/7/1979,ARG,
204937,Mariana,Conde,,9/9/1984,ARG,
204938,Magdalena,Tokarska,,1/24/1985,POL,
204939,Malgorzata,Silka,,8/20/1987,POL,
204940,Nicole,Ludwig,,4/8/1987,GER,
204941,Orawan,Lamangthong,,10/8/1981,THA,
204942,Madita,Suer,,4/2/1981,GER,
204943,Kara,Molony Hussey,,9/20/1979,USA,
204945,Deanna,Roberts,,7/30/1981,AUS,
204946,Yao,Zhang,,2/8/1984,CHN,
204947,Katie,Robinette,,11/10/1984,USA,
204948,Melissa,Applebaum,,6/13/1984,USA,
204949,Lenka,Snajdrova,,12/15/1983,CZE,
204951,Valentina,Bonacorsi,,12/2/1974,ITA,
204953,Susanne,Wild,,12/11/1982,GER,
204954,Claudia,Kuleszka,,11/16/1984,GER,
204955,Ajda,Brumen,,7/22/1984,SLO,
204958,Maria Jose,Sanchez Alayeto,,6/20/1984,ESP,
204960,Emily,Kwok,,8/21/1985,CAN,
204961,Anna,Pogosova,,8/14/1982,UKR,
204963,Joanne,Akl,,2/15/1985,FRA,
204967,Rebecca,Dandeniya,,5/28/1984,GBR,
204968,Nino,Szownadze,,2/3/1985,POL,
204969,Edita,Liachoviciute,,4/7/1976,LTU,
204972,Shari,Bucklin,,11/3/1964,USA,
204973,Michelle,Dasso,,12/12/1979,USA,
204974,Nhu Quynh,Phan,,11/2/1980,VIE,
204975,Thi Kim Loi,Tran,,8/10/1983,VIE,
204977,Katarzyna,Siwosz,,2/21/1986,POL,
204979,Tihana,Pochobradsky,,7/5/1983,CRO,
204981,Nathalia,Papadopolou,,2/15/1985,SWE,
204982,Vlasta,Vopickova,,4/20/1971,CZE,
204984,Michaela,Bartlova,,11/19/1986,CZE,
204985,Chen Chen,Gao,,2/13/1985,CHN,
204986,Elena,Stoianova,,9/14/1985,BUL,
204987,Alexandra,Mcgoodwin,,12/28/1984,USA,
204988,Andrea,Di Leo,,11/9/1984,LUX,
204990,Nicole,Shabaz,,2/3/1986,USA,
204991,Sabrina,Diniz,,7/14/1981,BRA,
204994,Marina,Cardoso,,4/2/1982,BRA,
204998,Martina,Braun Schultz,,9/30/1986,BRA,
205001,Fernanda,Bini,,1/2/1983,BRA,
205002,Florencia,Salvadores,,4/23/1983,ARG,
205005,Caitlin,Collins,,5/17/1985,USA,
205006,Natalie,Neri,,8/3/1982,GBR,
205008,Eveline,Vanhyfte,,3/19/1984,BEL,
205011,Nadejda,Vassileva,,2/3/1985,BUL,
205013,Klara,Hladka,,7/7/1983,CZE,
205015,Maria Laura,Fernandez,,7/27/1980,MEX,
205016,Gaelle,Taton,,7/19/1979,BEL,
205017,Lia,Jackson,,9/22/1980,USA,
205019,Ryoko,Watanabe,,9/13/1983,JPN,168
205020,Sun Young,Kim,,8/8/1978,KOR,
205021,Misae,Sakai,,2/26/1977,JPN,
205022,Hong Thanh,Tang,,8/20/1983,VIE,
205023,Mai Huynh,Huynh,,9/25/1984,VIE,
205024,Naoko,Horikawa,,2/5/1980,JPN,
205025,Utako,Suzuki,,8/12/1982,JPN,
205027,Jia,Lin,,1/11/1987,CHN,
205028,Thuy Linh,Tran,,11/16/1982,VIE,
205029,Ji Sun,Ha,,9/2/1981,KOR,
205030,Kyung Mi,Noh,,4/11/1984,KOR,
205032,Sybil,Parker,,1/6/1977,USA,
205033,Anna Maria,Miller,,1/4/1986,AUT,
205038,Elisabetta,Monduzzi,,7/14/1987,ITA,
205039,Jacqueline,Frohlich,,7/4/1983,GER,
205040,Caroline,Hartmann,,4/6/1984,FRA,
205041,Nora,Quintal,,1/18/1985,MEX,
205042,Shivani,Oberoi,,1/13/1981,CAN,
205043,Lauren,Colalillo,,11/24/1982,CAN,
205044,Karin,Ionesco,,8/8/1983,CAN,
205045,Kanako,Yano,,1/26/1981,JPN,
205046,Jodi,Kenoyer,,8/22/1981,USA,
205047,Dragana,Ognenovska,,1/24/1983,MKD,
205048,Monika,Dancevic,,11/17/1986,CAN,
205049,Jessica,Weyreuter,,9/22/1983,ARG,
205050,Eunice,David,,1/30/1987,CAN,
205051,Amy,Toth,,12/27/1984,CAN,
205052,Carmen,Pinto,,9/3/1986,ITA,
205055,Renata,Kucerkova,,1/26/1987,CZE,
205059,Hye Jeong,Chang,,5/5/1978,KOR,
205062,Roberta,Martellini,,4/23/1988,ITA,
205063,Zuzana,Cerna,,2/10/1983,CZE,
205065,Liberty,Sveke,,4/9/1987,USA,
205066,Julia,Acs,,11/30/1983,HUN,
205067,Nadine,Hassinger,,9/8/1983,GER,
205069,Rawya,Seif,,11/17/1985,EGY,
205071,Anastasia,Dvornikova,,5/31/1982,RUS,
205075,Carolina,Olmo,,4/10/1985,ARG,
205076,Martina,Pavelec,,6/5/1987,GER,
205077,Nikol,Dimitrova,,6/19/1987,BUL,
205080,Li,Huang,,7/23/1982,CHN,
205082,Nan,Dong,,2/14/1987,CHN,
205083,Yan,Zhang,,4/17/1988,CHN,
205084,Mimi,Renaudin,,10/30/1984,USA,
205088,Komugi,Matsui,,8/29/1983,JPN,
205089,Anastasia,Sourkova,,5/12/1986,RUS,
205090,Lara,Picone,,8/2/1986,AUS,
205091,Claire,Jalade,,12/3/1979,FRA,
205093,Joyce,Martinez,,1/11/1988,MEX,
205094,Celine,Beermann,,2/7/1986,GER,
205095,Stephanie,Greau,,9/11/1984,FRA,
205097,Patricia,Ribeiro,,4/10/1986,POR,
205098,Jahnavi,Sunderarajan,,7/17/1981,IND,
205100,Liza,Viplav,,10/5/1983,IND,
205101,Nandini,Perumal,,8/13/1983,IND,
205103,Geeta,Manohar,,12/28/1983,IND,
205104,Preeti,Rao,,10/16/1984,IND,
205105,Iciri,Rai,,10/25/1985,IND,
205108,Veronica,Grigis,,3/25/1984,ITA,
205111,Nikoleta,Kipritidou,,9/9/1985,GRE,
205113,Amanda,Dundas,,7/27/1976,AUS,
205114,Courtney,Ulery,,5/1/1988,USA,
205117,Soo Mi,Yoo,,1/31/1986,KOR,
205118,Ji Youn,Lee,,1/10/1984,KOR,
205119,Se Na,Lee,,5/27/1982,KOR,
205120,Francesca,Frappi,,10/16/1979,ITA,
205121,Barbara,Polidoro,,12/14/1983,ITA,
205122,Martina,Lautenschlager,,7/18/1988,SUI,
205124,Elodie,Rouzier,,2/24/1980,FRA,
205127,Ana Cecilia,Trevino,,11/25/1983,MEX,
205128,Jeong A,Cho,,11/20/1981,KOR,
205131,Wei,Na,,4/24/1981,CHN,
205134,Stephanie,Wetmore,,4/28/1988,CAN,
205135,Diana,Vranceanu,,4/6/1986,GER,
205137,Elena,Poliakova,,10/4/1983,RUS,
205138,Anna,Powaska,,7/3/1985,POL,
205139,Audra,Falk,,3/31/1983,USA,
205143,Valentina,Castro,,7/17/1981,CHI,
205145,Kokoro,Takehara,,10/23/1984,JPN,
205150,Saori,Hosogai,,7/23/1986,JPN,
205151,Yukiko,Yabe,,11/16/1981,JPN,
205152,Olga,Khrapkova,,7/24/1987,RUS,
205153,Natalia,Rakhmanina,,1/3/1988,RUS,
205154,Natalia,Pervitskaya,,5/30/1985,RUS,
205156,Lucia,Jimenez Almendros,,12/13/1985,ESP,
205157,Leila,Hodzic,,2/6/1986,USA,
205162,Daniela,Krejsova,,5/14/1986,SVK,
205163,Tamara,Encina,,9/24/1979,USA,
205164,Rebekah,Rhodes,,10/12/1979,USA,
205167,Courtney,Vernon,,10/11/1985,USA,
205171,Jie,Zeng,,11/1/1987,USA,
205173,Bianca,Acquistapace,,5/11/1984,AUS,
205174,Bronwyn,Williams,,2/27/1984,AUS,
205175,Veronika,Litvinskaya,,4/30/1985,UKR,
205176,Dorian,Driessen,,4/1/1984,NED,
205177,Marta,Torres Torres,,11/3/1986,ESP,
205178,Talitha,De Groot,,10/6/1987,NED,
205180,Karishma,Patel,,2/28/1981,IND,
205181,Suhaila,Jad Gomez,,8/15/1988,ESP,
205182,Sabrina,Mendez Dominguez,,6/5/1988,ESP,
205184,Aude,Vermoezen,,7/25/1989,BEL,
205185,Mitsuko,Ise,,10/28/1982,JPN,
205186,Osaro,Amadin,,10/5/1981,NGR,
205188,Sandra,Canrom,,5/1/1987,GBR,
205190,Karin,Schlapbach,,7/31/1980,SUI,
205191,Fatimah,Abinu,,1/26/1986,NGR,
205192,Sabath,Ibrahim,,12/28/1980,NGR,
205193,Rebecca,Fong,,6/7/1984,GBR,
205194,Maria,Babich,,2/7/1987,RUS,
205198,Alexandra,Recio Linares,,1/4/1987,ESP,
205199,Yuka,Hosoya,,6/3/1985,JPN,
205201,Sayaka,Umeda,,5/3/1985,JPN,
205204,Natalia,Kolat,,11/19/1987,POL,
205206,Ozge,Atalay,,10/16/1987,TUR,
205207,Lenore,Lazaroiu,,6/26/1987,ROU,
205208,Ayse Ece,Yavuz,,4/17/1990,TUR,
205210,Alena,Bayarchyk,,8/10/1988,BLR,
205212,Laila,Abdala,,10/7/1986,MEX,
205214,Yana,Nemerovski,,7/6/1986,ISR,
205216,Nadine,Fahoum,,10/10/1989,ISR,
205220,Chirashanthi,Rajur,,9/2/1985,IND,
205221,Shweta,Kakhandki Gadigeppa,,6/3/1989,IND,
205223,Georgette,Wright,,7/9/1984,USA,
205224,Lorena,Rebolledo,,4/15/1988,MEX,
205225,Rocio,Frausto,,10/25/1988,MEX,
205226,Maria Jose,Andres Gomez,,10/24/1987,MEX,
205230,Yen Hua,Lu,,10/19/1983,TPE,
205231,Lorena Ivette,Arias Rodriguez,,1/25/1983,MEX,
205234,Vittoria,Perugini,,9/5/1987,ITA,
205235,Krizia,Borgarello,,12/2/1985,ITA,
205236,Daniela,Bracaglia,,1/12/1986,ITA,
205237,Yuko,Uchida,,9/13/1984,JPN,
205238,Chiaki,Matsumoto,,8/17/1987,JPN,
205241,Zita,Horanyi,,9/16/1983,HUN,
205250,Shan Shan,Li,,1/6/1989,CHN,
205253,Eun Jeong,Hwang,,4/3/1985,KOR,
205254,Jung Eun,Kim,,12/5/1986,KOR,
205256,Viet Ha,Ngo,,7/5/1990,VIE,
205258,Kunkanda,Pukjumpa,,7/18/1987,THA,
205260,Danielle,Kypreos,,11/13/1985,AUS,
205264,Roana,Schiopu,,1/15/1990,ISR,
205266,Benedetta,Sabatini,,10/11/1989,ITA,
205267,Efrat,Mishor,,12/20/1989,ISR,
205268,Annabella,Weigert,,5/9/1985,GER,
205269,Elana,Agranovich,,7/12/1988,ISR,
205272,Victoria,Tseitlin,,5/10/1988,ISR,
205274,Laura,Zelder,,11/17/1986,GER,
205277,Anna,Blagodarova,,5/6/1985,CAN,
205280,Laura,Pola,,4/23/1990,CAN,
205282,Hitomi,Fujii,,8/12/1984,JPN,
205284,Florentina,Hanisch,,9/19/1987,BRA,
205286,Stephanie,Dalmacio,,8/12/1987,BRA,
205287,Viviane,Marani,,12/9/1987,BRA,
205292,Shu Yi,Zhang,,11/14/1986,CHN,
205294,Katariina,Tuohimaa,,4/28/1988,FIN,180
205295,Christine,Sperling,,2/8/1988,GER,
205300,Miriam,Steinhilber,,5/11/1988,GER,
205301,Lora,Stancheva,,8/20/1990,BUL,
205302,Sladana,Stankovic,,11/12/1983,SRB,
205303,Tanya,Stoimenova,,2/6/1989,BUL,
205304,Andrada Lacramioara,Dinu,,9/11/1987,ROU,
205307,Ayumi,Yamamoto,,9/16/1987,JPN,
205312,Ellen,Linsenbolz,,2/23/1989,GER,
205316,Kelly,De Beer,,2/22/1986,NED,
205317,Eva,Pera,,11/21/1986,NED,
205319,Maria,Sorbello,,12/25/1987,AUS,
205321,Monique,Lynch,,12/1/1989,AUS,
205326,Therina,Steenkamp,,9/7/1980,RSA,
205327,Celine,Regnier,,10/17/1974,FRA,
205328,Marie Perrine,Baudouin,,1/14/1983,FRA,
205331,Margaret,Olagundoye,,12/28/1974,NGR,
205332,Hannah,Eke,,8/14/1987,NGR,
205335,Maria Fernanda,Macedo,,7/21/1990,MEX,
205342,Nicole,Bouffler,,2/28/1983,AUS,
205343,Abby,Hedges,,3/9/1987,NZL,
205346,Patricia,Soesilo,,4/13/1988,INA,
205347,Deborah,Armstrong,,1/16/1989,GBR,
205349,Lutfiana Aris,Budiharto,,8/31/1990,INA,
205351,Jessica,Jackson,,6/26/1989,GBR,
205353,Maja,Kambic,,2/7/1988,SLO,
205355,Nosa,Esorae,,10/12/1978,NGR,
205356,Blessing,Samuel,,12/10/1990,NGR,
205357,Reina,Ishihara,,7/27/1984,JPN,
205358,Angelica,Chavez,,2/21/1988,MEX,
205359,Marta,Espigado Delgado,,2/3/1990,ESP,
205360,Cristina,Valladares Nunez,,6/30/1989,ESP,
205366,Suzanne,Matzenauer,,1/17/1988,USA,
205367,Maria Paula,Hernandez,,3/30/1990,MEX,
205370,Cammie,Gray,,11/22/1987,USA,
205381,Veronica,Queen,,5/14/1987,USA,
205382,Keilly,Ulery,,5/5/1990,USA,
205383,Kate,Jolson,,11/11/1983,USA,
205385,Thuy Trang,Le Nguyen,,2/14/1988,VIE,
205386,Kei,Sekine,,2/24/1984,JPN,
205387,Kaoru,Maezawa,,12/9/1987,JPN,
205388,Federica,Dambrosio,,3/21/1989,ITA,
205389,Argyro,Christofi,,11/5/1991,GRE,
205390,Andrea,Eskauriatza Ruiz,,4/15/1991,MEX,
205391,Alessandra,Di Batte,,9/22/1989,ITA,
205392,Alessia,Bertoia,,5/6/1989,ITA,
205393,Agni,Stefanou,,5/23/1989,GRE,
205396,Cynthia,Prieto Garcia,,8/18/1988,ESP,
205397,Natalia,Anisimova,,1/30/1973,BLR,
205398,Cho Won,Lee,,7/29/1987,KOR,
205405,Ginebra,Mostajo Estrada,,11/22/1989,ESP,
205407,Shiori,Kikukawa,,6/12/1991,JPN,
205408,Lauren,Dossor,,6/12/1988,GBR,
205409,Elizaveta,Titova,,5/6/1989,RUS,
205410,Sonja,Viskovich,,12/30/1986,AUS,
205411,Airi,Hagimoto,,12/26/1986,JPN,
205417,Yuliya,Hnateyko,,8/2/1987,UKR,
205420,Kateryna,Byelcheva,,3/23/1990,UKR,
205424,Carolina Magalhaes,Malheiros,,5/17/1988,BRA,
205428,Taylor,Ormond,,7/23/1989,CAN,
205430,Anita,Paliiska,,3/14/1990,BUL,
205433,Sylwia,Zagorska,,5/2/1989,POL,
205435,Anna,Geissler,,4/11/1989,GER,
205438,Alexandra,Popa,,9/29/1983,ROU,
205441,Mika,Morimoto,,5/16/1990,JPN,
205443,Viktoriya,Semyrodenko,,7/26/1990,UKR,
205445,Katerina,Mazackova,,8/19/1986,CZE,
205446,Aleksandra,Marjanovic,,7/1/1988,GER,
205448,Huan,Xia,,1/6/1988,CHN,
205449,Ting Ting,Lu,,6/27/1988,CHN,
205450,Xuan Yu,Guo,,2/22/1990,CHN,
205451,Wen Bo,Wang,,7/27/1990,CHN,
205452,Hye Mi,Byun,,1/20/1988,KOR,
205453,Xia Ling,Li,,1/29/1988,CHN,
205454,Ya Qi,Deng,,11/3/1991,CHN,
205456,Julie,Herve,,4/10/1990,FRA,
205458,Maria Victoria,Domina,,8/14/1981,ARG,
205460,Marina,Takimura,,1/29/1990,JPN,
205464,Diana,Kyllmann,,1/24/1991,BOL,
205470,Ana Paula,Antelo,,12/12/1990,BOL,
205471,Yasmin,Enrich,,4/9/1988,ARG,
205476,Karla,Gallardo,,3/14/1989,MEX,
205479,Aminat,Balogun,,12/8/1976,NGR,
205480,Lucy,Warburton,,12/7/1987,GBR,
205483,Yukari,Kishiro,,10/2/1989,JPN,
205484,Ana Sofia,Camberos,,8/14/1990,MEX,
205486,Blessing,Anuna,,10/8/1982,NGR,
205489,Ekaterina,Pushkareva,,4/9/1990,RUS,
205490,Kanako,Ishida,,6/3/1989,JPN,
205491,Pola,Olczak,,8/20/1988,POL,
205493,Parija,Maloo,,11/4/1989,IND,
205494,Prachi,Nadkarni,,11/19/1991,IND,
205496,Vishika,Chhetri,,10/12/1983,IND,
205502,Selma,Andrade,,10/5/1983,NED,
205509,Inna,Sokolova,,7/12/1990,RUS,
205510,Julianna,Gates,,1/7/1985,USA,
205512,Misa,Kinoshita,,5/25/1987,JPN,
205517,Carla,Venticinque Torres,,7/14/1991,ESP,
205519,Beate,Giller,,1/5/1989,AUT,
205521,Asli,Semizoglu,,3/11/1987,TUR,
205522,Yoo Ri,Bae,,10/27/1986,KOR,
205523,Jae Hee,Lyoo,,9/25/1985,KOR,
205524,Xi,Lu,,1/20/1989,CHN,
205525,Lu,Guo,,11/24/1988,CHN,
205526,Sara,Savarise,,4/4/1987,ITA,
205533,Cristina,Bala Abella,,12/30/1988,ESP,
205534,Berta,Morata Flaquer,,7/21/1988,ESP,
205535,Debora,Castany Muniente,,11/12/1989,ESP,
205536,Petra,Pajalic,,6/1/1988,SLO,
205538,Anupama,Rajur,,1/6/1984,IND,
205545,Rocio,Lopez Alberca,,4/14/1991,ESP,
205547,Elizaveta,Zaytseva,,7/7/1989,RUS,
205548,Mayumi,Seki,,7/2/1990,JPN,
205551,Letizia,Lo Re,,9/6/1988,ITA,
205552,Paloma,Diaz Sada,,3/31/1990,ESP,
205553,Olivia,Scarfi,,7/10/1988,GBR,
205554,Amanda,Granson,,3/14/1988,USA,
205555,Chelsea,Preeg,,12/11/1989,USA,
205558,Tugce,Dogan,,6/12/1991,TUR,
205560,Yui,Takauchi,,12/20/1991,JPN,
205564,Elodie,Caillat,,3/8/1988,FRA,
205567,Paola,Sprovieri,,6/2/1988,GER,
205568,Anna,Lubinsky,,8/21/1984,USA,
205569,Jill M,Saunders,,3/13/1991,USA,
205570,Helena,Besovic,,8/28/1984,BIH,
205572,Hanna,Kapustka,,6/8/1990,POL,
205574,Ewa,Szatkowska,,4/19/1988,POL,
205575,Daniela,Covello,,5/6/1983,CAN,
205576,Kady,Pooler,,3/17/1986,USA,
205579,Hermione,Roukassian,,1/2/1985,FRA,
205580,Maria Jose,Marino Calvino,,6/12/1993,ESP,
205581,Jana,Albers,,1/13/1988,GER,
205582,Farah,Abougeib Selo,,3/22/1990,ESP,
205583,Julia,Trunk,,4/24/1988,GER,
205588,Yasmine,Guimaraes,,12/1/1990,BRA,
205592,Minori,Takemoto,,9/21/1984,JPN,
205593,Yuri,Kasuya,,6/24/1983,JPN,
205595,Martyna,Majewska,,4/19/1990,POL,
